path,size_bytes,last_commit_date,ref_count,ref_locations,reason_guess
attic/TO_REMOVE_20250808/microsoft-promptwizard/venv/lib/python3.12/site-packages/pyarrow/lib.cpython-312-x86_64-linux-gnu.so,4510808,never,0,,legacy_dir
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/tensorboard/webfiles.zip,4423773,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/nextjs-app/node_modules/next/dist/server/capsize-font-metrics.json,4301622,never,0,,cache
attic/TO_REMOVE_20250808/nextjs-app/.next/cache/webpack/server-production/1.pack,4024938,never,0,,cache
attic/TO_REMOVE_20250808/nextjs-app/node_modules/next/dist/compiled/amphtml-validator/validator_wasm.js,4012235,never,0,,cache
attic/TO_REMOVE_20250808/nextjs-app/node_modules/next/dist/compiled/next-server/app-page-turbo-experimental.runtime.dev.js.map,3595486,never,0,,cache
attic/TO_REMOVE_20250808/nextjs-app/node_modules/next/dist/compiled/next-server/app-page-experimental.runtime.dev.js.map,3590403,never,0,,cache
attic/TO_REMOVE_20250808/microsoft-promptwizard/venv/lib/python3.12/site-packages/numpy/core/_simd.cpython-312-x86_64-linux-gnu.so,3535232,never,0,,legacy_dir
attic/TO_REMOVE_20250808/microsoft-promptwizard/venv/lib/python3.12/site-packages/tiktoken/_tiktoken.cpython-312-x86_64-linux-gnu.so,3492544,never,0,,legacy_dir
attic/TO_REMOVE_20250808/nextjs-app/node_modules/next/dist/compiled/next-server/app-page-turbo.runtime.dev.js.map,3395676,never,0,,cache
attic/TO_REMOVE_20250808/nextjs-app/node_modules/next/dist/compiled/next-server/app-page.runtime.dev.js.map,3390590,never,0,,cache
attic/TO_REMOVE_20250808/nextjs-app/.next/cache/webpack/server-production/index.pack,3384238,never,0,,cache
attic/TO_REMOVE_20250808/microsoft-promptwizard/venv/lib/python3.12/site-packages/PIL/_imaging.cpython-312-x86_64-linux-gnu.so,3382089,never,0,,legacy_dir
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/PIL/_imaging.cpython-313-x86_64-linux-gnu.so,3382009,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/nextjs-app/.next/cache/webpack/server-production/index.pack.old,3230699,never,0,,cache
